연도,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
2006,캘러웨이,현대,2.87,27,14,7,0,0,0.667,166+1/3,171,4,35,8,95,61,53,1.24,0,0,18,0,703,2532,0.264,19,2,12,1,0,4,0,27,14,0,0,0,0,17,262,120,2.18
2006,리오스,두산,2.9,34,12,16,0,0,0.429,233,204,14,49,15,145,86,75,1.09,4,1,24,0,945,3485,0.24,25,3,25,7,1,8,0,33,11,1,4,0,0,19,267,240,1.11
2006,배영수,삼성,2.92,32,8,9,0,4,0.471,157+1/3,142,13,38,9,133,56,51,1.14,0,0,11,0,647,2451,0.245,30,1,17,4,2,1,0,25,7,1,0,4,0,10,174,134,1.3
2006,랜들,두산,2.95,30,16,8,0,0,0.667,192+1/3,170,14,58,10,142,66,63,1.19,2,2,19,0,795,3060,0.245,23,5,24,8,2,2,0,30,16,0,2,0,0,12,175,216,0.81
2006,그레이싱어,KIA,3.02,29,14,12,0,0,0.538,188,151,10,47,12,164,65,63,1.05,2,0,19,0,753,2958,0.223,26,1,14,2,0,3,0,29,14,0,2,0,0,13,197,168,1.17
2006,문동환,한화,3.05,31,16,9,1,0,0.64,189,186,10,67,11,85,78,64,1.34,4,2,18,0,798,2911,0.263,19,2,12,1,0,5,0,29,15,1,5,1,0,21,252,185,1.36
2006,채병용,SK,3.07,27,7,8,0,0,0.467,152+2/3,136,10,55,9,97,60,52,1.25,0,0,12,0,640,2452,0.245,19,1,14,6,2,2,1,25,7,0,1,0,0,17,168,161,1.04
2006,이상목,롯데,3.25,23,12,8,0,0,0.6,138+2/3,132,17,23,5,50,63,50,1.12,1,0,15,0,566,2010,0.253,26,1,12,5,0,2,0,23,12,0,1,0,0,10,167,177,0.94
2006,한기주,KIA,3.26,44,10,11,1,8,0.476,140+2/3,117,8,52,12,78,57,51,1.2,0,0,5,1,584,2207,0.232,20,0,14,2,1,8,0,17,3,7,7,6,0,19,179,132,1.36
2006,하리칼라,삼성,3.33,23,12,7,0,0,0.632,135+1/3,131,14,26,6,70,60,50,1.16,0,0,13,0,552,1953,0.26,23,0,15,1,0,1,0,23,12,0,0,0,0,16,171,132,1.3
2006,전준호,현대,3.39,30,14,4,1,0,0.778,143+1/3,141,7,60,12,82,56,54,1.4,1,0,13,0,627,2418,0.259,22,1,8,2,0,5,0,23,14,0,5,1,0,12,161,163,0.99
2006,정재복,LG,3.59,29,7,10,0,0,0.412,143,126,9,49,3,63,64,57,1.22,0,0,14,0,591,2247,0.244,20,2,19,3,2,2,0,23,6,1,3,0,0,9,146,185,0.79
2006,송진우,한화,3.6,26,8,8,0,0,0.5,147+1/3,147,10,47,9,94,64,59,1.32,0,0,12,0,624,2371,0.265,23,0,14,0,1,6,0,26,8,0,0,0,0,20,186,127,1.46
2006,장원준,롯데,3.61,29,7,12,0,0,0.368,179+2/3,152,14,75,9,130,85,72,1.26,1,0,18,0,755,2952,0.233,33,1,17,3,1,2,1,28,7,0,1,0,0,13,208,164,1.27
2006,염종석,롯데,3.72,25,6,9,0,0,0.4,128+1/3,146,7,31,5,62,62,53,1.38,0,0,10,0,547,1922,0.295,19,2,12,4,0,2,0,25,6,0,0,0,0,14,160,131,1.22
2006,전병호,삼성,3.9,35,10,8,0,2,0.556,134,146,10,47,5,65,69,58,1.44,0,0,7,0,584,2109,0.285,26,2,15,5,0,3,2,21,10,0,4,2,0,13,168,138,1.22
2006,윤길현,SK,3.9,32,5,9,1,2,0.357,140+2/3,126,13,54,7,91,66,61,1.28,0,0,6,0,594,2275,0.243,23,1,11,4,1,6,0,24,5,0,2,3,0,10,133,172,0.77
2006,임동규,삼성,3.91,34,8,7,0,3,0.533,138,136,20,41,8,59,69,60,1.28,0,0,10,0,588,2263,0.262,29,1,15,4,1,1,1,23,8,0,2,2,0,5,114,215,0.53
2006,정민철,한화,3.93,25,7,13,0,0,0.35,130+2/3,142,18,42,5,62,68,57,1.41,0,0,6,0,563,2113,0.284,16,2,12,4,0,6,1,24,7,0,0,0,0,11,160,140,1.14
2006,김원형,SK,4.07,24,5,9,0,0,0.357,139+1/3,152,11,41,13,52,69,63,1.39,0,0,14,0,603,2099,0.286,30,2,14,3,0,1,0,23,5,0,0,0,0,11,185,146,1.27
2006,심수창,LG,4.38,29,10,9,0,0,0.526,135+2/3,147,17,52,8,56,73,66,1.47,0,0,10,0,595,2182,0.286,19,4,17,4,2,5,1,24,10,0,1,1,0,19,175,140,1.25
2007,리오스,두산,2.07,33,22,5,0,0,0.815,234+2/3,191,8,58,16,147,69,54,1.06,6,4,26,0,947,3566,0.223,26,3,10,6,2,5,0,33,22,0,6,0,0,21,302,223,1.35
2007,채병용,SK,2.84,28,11,8,0,0,0.579,146,137,8,47,5,84,51,46,1.26,0,0,15,0,610,2321,0.255,19,1,14,6,4,3,1,23,11,0,4,0,0,14,159,164,0.97
2007,정민철,한화,2.9,26,12,5,0,0,0.706,155+1/3,155,11,32,8,66,58,50,1.2,1,1,15,0,638,2313,0.268,29,0,11,8,1,3,1,26,12,0,1,0,0,13,205,161,1.27
2007,류현진,한화,2.94,30,17,7,0,0,0.708,211,195,15,68,3,178,74,69,1.25,6,1,22,0,867,3349,0.251,39,1,17,1,4,6,0,30,17,0,6,0,0,19,240,166,1.45
2007,랜들,두산,3.12,28,12,8,0,0,0.6,164+1/3,142,16,55,10,113,60,57,1.2,0,0,17,0,684,2664,0.235,21,2,10,5,4,3,0,28,12,0,0,0,0,10,152,202,0.75
2007,박명환,LG,3.19,27,10,6,0,0,0.625,155+1/3,133,11,72,4,117,59,55,1.32,0,0,19,0,659,2583,0.235,32,4,9,7,0,7,1,26,10,0,0,0,0,14,141,183,0.77
2007,레이번,SK,3.27,32,17,8,0,0,0.68,184+2/3,167,13,86,13,98,74,67,1.37,1,0,17,0,800,3176,0.246,20,1,15,7,0,2,0,32,17,0,1,0,0,22,220,201,1.09
2007,브라운,삼성,3.33,30,12,8,0,0,0.6,162+1/3,155,10,43,14,68,65,60,1.22,0,0,10,0,681,2525,0.257,22,3,14,6,1,2,1,30,12,0,0,0,0,14,195,192,1.02
2007,손민한,롯데,3.34,30,13,10,0,0,0.565,194,191,17,48,2,95,74,72,1.23,0,0,19,0,797,2831,0.263,27,4,18,3,4,4,0,30,13,0,0,0,0,12,232,211,1.1
2007,장원삼,현대,3.63,30,9,10,0,0,0.474,168+2/3,152,16,75,3,132,80,68,1.35,0,0,13,0,719,2806,0.241,30,2,7,2,0,4,0,30,9,0,0,0,0,13,159,191,0.83
2007,로마노,SK,3.69,32,12,4,0,0,0.75,146+1/3,158,9,67,5,81,72,60,1.54,0,0,13,0,651,2521,0.28,15,0,11,4,0,3,0,25,11,1,4,0,0,18,184,145,1.27
2007,윤석민,KIA,3.78,28,7,18,0,0,0.28,162,161,10,59,15,104,76,68,1.36,2,1,14,0,703,2623,0.266,33,2,23,1,1,2,0,26,7,0,2,0,0,14,207,134,1.54
2007,김수경,현대,3.88,30,12,7,0,0,0.632,176+1/3,170,19,61,2,127,85,76,1.31,0,0,13,0,750,2898,0.253,31,5,11,3,1,4,0,30,12,0,0,0,0,10,198,181,1.09
2007,스코비,KIA,3.92,22,8,10,0,0,0.444,126+1/3,123,11,62,5,58,57,55,1.46,0,0,14,0,543,1971,0.269,33,0,15,4,6,4,0,20,8,0,1,0,0,17,178,102,1.75
2007,전병호,삼성,4.06,32,8,8,0,2,0.5,137+1/3,148,11,41,4,39,71,62,1.38,0,0,9,1,582,2108,0.287,30,2,17,4,0,2,0,25,7,1,0,2,0,20,202,131,1.54
2007,세드릭,한화,4.15,28,11,13,0,0,0.458,158+1/3,143,7,104,10,140,81,73,1.56,0,0,14,0,714,2960,0.246,25,0,11,8,4,11,0,28,11,0,0,0,0,10,160,146,1.1
2007,정재복,LG,4.42,44,6,5,1,2,0.545,126+1/3,134,6,38,2,71,65,62,1.36,0,0,5,0,541,2061,0.277,25,5,11,7,3,4,0,13,4,2,8,3,0,13,116,169,0.69
2007,황두성,현대,4.45,46,7,9,1,3,0.438,139+2/3,121,13,51,1,142,76,69,1.23,0,0,6,0,590,2437,0.233,16,4,12,5,1,6,3,17,5,2,6,3,0,4,109,153,0.71
2007,장원준,롯데,4.67,32,8,12,0,0,0.4,156,171,14,69,9,103,87,81,1.54,0,0,15,0,707,2708,0.281,29,1,13,8,7,10,0,28,8,0,1,1,0,13,179,163,1.1
2007,전준호,현대,4.75,26,6,10,0,0,0.375,142,145,23,60,6,73,79,75,1.44,0,0,9,0,625,2273,0.27,30,2,19,3,3,4,0,26,6,0,0,0,0,8,133,189,0.7
2008,윤석민,KIA,2.33,24,14,5,0,1,0.737,154+2/3,121,10,42,4,119,45,40,1.05,1,0,18,0,612,2305,0.214,13,3,1,0,0,2,0,23,14,0,1,1,0,12,170,155,1.1
2008,김광현,SK,2.39,27,16,4,0,0,0.8,162,127,9,63,2,150,50,43,1.17,1,1,18,0,659,2538,0.218,13,0,11,0,1,3,0,27,16,0,1,0,0,14,168,138,1.22
2008,봉중근,LG,2.66,28,11,8,0,0,0.579,186+1/3,153,13,68,12,140,66,55,1.19,0,0,18,0,767,2958,0.227,27,4,8,5,0,6,0,28,11,0,0,0,0,14,207,179,1.16
2008,채병용,SK,2.7,27,10,2,0,1,0.833,136+2/3,126,10,43,6,81,43,41,1.24,0,0,11,0,569,2213,0.247,16,3,6,3,1,2,0,23,10,0,0,1,0,10,139,168,0.83
2008,장원삼,우리,2.85,27,12,8,0,0,0.6,167+1/3,145,9,57,2,126,54,53,1.21,2,2,14,0,674,2656,0.24,26,1,6,4,1,3,1,27,12,0,2,0,0,16,150,188,0.8
2008,손민한,롯데,2.97,26,12,4,0,0,0.75,179,183,12,40,1,80,66,59,1.25,1,0,21,0,733,2565,0.27,21,3,12,3,4,5,0,26,12,0,1,0,0,22,250,167,1.5
2008,레이번,SK,3.3,26,5,3,0,0,0.625,133+2/3,129,9,65,10,68,55,49,1.45,0,0,10,0,587,2225,0.26,5,2,10,5,0,9,0,26,5,0,0,0,0,13,188,117,1.61
2008,류현진,한화,3.31,26,14,7,0,0,0.667,165+2/3,144,12,67,1,143,66,61,1.27,2,1,16,0,684,2685,0.24,22,2,10,5,2,5,0,26,14,0,2,0,0,18,171,148,1.16
2008,정현욱,삼성,3.4,53,10,4,0,11,0.714,127,108,3,55,1,97,51,48,1.28,0,0,1,0,529,1954,0.232,20,3,3,4,0,2,0,7,2,8,5,8,0,11,150,115,1.3
2008,마일영,우리,3.49,28,11,11,0,0,0.5,173,155,11,57,12,83,77,67,1.23,1,0,19,0,712,2658,0.244,21,4,6,1,0,4,0,28,11,0,1,0,0,25,243,156,1.56
