¿¬µµ,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
2016,·Ôµ¥,0.288,144,5784,5001,777,1439,252,20,127,2112,732,62,41.0,596,18,83,1061,120.0,0.422,0.37,0.792,144.0,0.285,0.251
2016,KIA,0.286,144,5696,4999,803,1429,264,28,170,2259,754,66,45.0,499,12,87,997,109.0,0.452,0.358,0.81,144.0,0.288,0.286
2016,KT,0.276,144,5620,4963,672,1369,214,11,116,1953,639,65,45.0,499,7,48,933,130.0,0.394,0.345,0.739,144.0,0.278,0.22
2017,KIA,0.302,144,5841,5142,906,1554,292,29,170,2414,868,55,56.0,499,19,89,891,117.0,0.469,0.37,0.839,144.0,0.324,0.254
2017,µÎ»ê,0.294,144,5833,5102,849,1499,270,20,178,2343,812,48,47.0,541,19,95,960,120.0,0.459,0.369,0.828,144.0,0.296,0.2
2017,NC,0.293,144,5790,5079,786,1489,277,19,149,2251,739,62,48.0,471,19,130,979,119.0,0.443,0.365,0.808,144.0,0.292,0.249
2017,³Ø¼¾,0.29,144,5712,5098,789,1479,267,30,141,2229,748,21,42.0,468,15,83,1066,129.0,0.437,0.357,0.794,144.0,0.29,0.23
2017,ÇÑÈ­,0.287,144,5665,5030,737,1445,261,16,150,2188,684,85,38.0,416,15,94,974,112.0,0.435,0.35,0.785,144.0,0.29,0.281
2017,·Ôµ¥,0.285,144,5671,4994,743,1425,250,17,151,2162,697,76,32.0,457,33,112,1018,146.0,0.433,0.356,0.789,144.0,0.28,0.229
2017,LG,0.281,144,5614,4944,699,1390,216,20,110,1976,663,76,55.0,438,17,101,1021,123.0,0.4,0.348,0.748,144.0,0.295,0.217
2017,»ï¼º,0.279,144,5707,5095,757,1419,255,36,145,2181,703,58,55.0,429,17,70,983,97.0,0.428,0.34,0.768,144.0,0.285,0.22
2017,KT,0.275,144,5485,4937,655,1360,274,17,119,2025,625,62,45.0,374,11,66,1017,118.0,0.41,0.332,0.742,144.0,0.29,0.239
2017,SK,0.271,144,5564,4925,761,1337,222,15,234,2291,733,57,41.0,427,20,113,1100,97.0,0.465,0.341,0.806,144.0,0.273,0.237
2018,µÎ»ê,0.309,144,5870,5176,944,1601,284,30,191,2518,898,43,63.0,496,16,92,1016,112.0,0.486,0.376,0.862,144.0,0.317,0.263
2018,KIA,0.295,144,5744,5036,865,1487,258,22,170,2299,823,56,50.0,503,27,99,905,135.0,0.457,0.367,0.824,144.0,0.302,0.207
