연도,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
2003,정현욱,삼성,2,0,0,0,-,0,0
2003,조동찬,삼성,14,0,0,0,-,0,0
2003,현재윤,삼성,34,0,0,0,-,0,0
2003,경헌호,LG,2,0,0,0,-,0,0
2003,김광삼,LG,1,0,0,0,-,0,0
2003,김광희,LG,6,0,0,0,-,0,0
2003,김세중,LG,1,0,0,0,-,0,0
2003,김우석,LG,4,0,0,0,-,0,0
2003,김재학,LG,2,0,0,0,-,0,0
2003,김재현,LG,50,0,0,0,-,0,0
2003,김정민,LG,9,0,0,0,-,0,0
2003,김진유,LG,1,0,0,0,-,0,0
2003,박만채,LG,3,0,0,0,-,0,0
2003,박용진,LG,1,0,0,0,-,0,0
2003,서승화,LG,8,0,0,0,-,0,0
2003,성영재,LG,1,0,0,0,-,0,0
2003,손지환,LG,61,2,0,2,0.0,0,0
2003,알칸트라,LG,79,1,0,1,0.0,0,0
2003,유택현,LG,4,0,0,0,-,0,0
2003,윤현식,LG,5,1,0,1,0.0,0,0
2003,이동현,LG,1,0,0,0,-,0,0
2003,이상훈,LG,7,0,0,0,-,0,0
2003,이승호,LG,1,0,0,0,-,0,0
2003,이일의,LG,2,0,0,0,-,0,0
2003,장문석,LG,3,0,0,0,-,0,0
2003,장재중,LG,57,0,0,0,-,0,0
2003,전승남,LG,4,0,0,0,-,0,0
2003,조인성,LG,132,1,0,1,0.0,0,0
2003,최만호,LG,93,2,0,2,0.0,0,0
2003,추승우,LG,5,0,0,0,-,0,0
2003,허문회,LG,23,0,0,0,-,0,0
2003,고우석,KIA,1,0,0,0,-,0,0
2003,김경진,KIA,18,0,0,0,-,0,0
2003,김주호,KIA,31,0,0,0,-,0,0
2003,김지훈,KIA,39,0,0,0,-,0,0
2003,리오스,KIA,1,0,0,0,-,0,0
2003,서동욱,KIA,42,1,0,1,0.0,0,0
2003,신용운,KIA,4,0,0,0,-,0,0
2003,오봉옥,KIA,2,0,0,0,-,0,0
2003,오우진,KIA,2,0,0,0,-,0,0
2003,오철민,KIA,3,0,0,0,-,0,0
2003,유동훈,KIA,1,0,0,0,-,0,0
2003,이강철,KIA,2,0,0,0,-,0,0
2003,임준혁,KIA,5,0,0,0,-,0,0
2003,정원,KIA,1,0,0,0,-,0,0
2003,조민철,KIA,5,0,0,0,-,0,0
2003,존슨,KIA,1,0,0,0,-,0,0
2003,진필중,KIA,1,0,0,0,-,0,0
2003,차일목,KIA,6,0,0,0,-,0,0
2003,강병식,현대,43,1,0,1,0.0,0,0
2003,권준헌,현대,2,0,0,0,-,0,0
2003,김민우,현대,15,1,0,1,0.0,0,0
2003,김성태,현대,3,0,0,0,-,0,0
2003,마일영,현대,1,0,0,0,-,0,0
2003,서한규,현대,35,0,0,0,-,0,0
2003,신철인,현대,2,0,0,0,-,0,0
2003,이대환,현대,3,0,0,0,-,0,0
2003,이상열,현대,1,0,0,0,-,0,0
2003,전근표,현대,61,0,0,0,-,0,0
2003,조용준,현대,3,0,0,0,-,0,0
2003,채종국,현대,90,0,0,0,-,0,0
2003,최익성,현대,33,0,0,0,-,0,0
2003,황두성,현대,1,0,0,0,-,0,0
2003,강인권,두산,67,3,0,3,0.0,0,0
2003,구자운,두산,1,0,0,0,-,0,0
2003,문희성,두산,71,1,0,1,0.0,0,0
2003,백대운,두산,9,0,0,0,-,0,0
2003,백승훈,두산,2,0,0,0,-,0,0
2003,윤태수,두산,6,0,0,0,-,0,0
2003,이경환,두산,21,0,0,0,-,0,0
2003,이리키,두산,2,0,0,0,-,0,0
2003,이재영,두산,3,0,0,0,-,0,0
2003,정종수,두산,17,0,0,0,-,0,0
2003,쿨바,두산,44,0,0,0,-,0,0
2003,키퍼,두산,1,0,0,0,-,0,0
2003,홍원기,두산,124,3,0,3,0.0,0,0
2003,강성우,SK,39,0,0,0,-,0,0
2003,김강민,SK,2,0,0,0,-,0,0
2003,김동건,SK,2,0,0,0,-,0,0
2003,김명완,SK,1,0,0,0,-,0,0
2003,김형철,SK,2,0,0,0,-,0,0
2003,박두일,SK,1,0,0,0,-,0,0
2003,송수근,SK,2,0,0,0,-,0,0
2003,송은범,SK,1,0,0,0,-,0,0
2003,윤길현,SK,1,0,0,0,-,0,0
2003,윤형국,SK,4,0,0,0,-,0,0
2003,이대수,SK,10,0,0,0,-,0,0
2003,정상호,SK,21,0,0,0,-,0,0
2003,조웅천,SK,2,0,0,0,-,0,0
2003,조중근,SK,11,0,0,0,-,0,0
2003,채종범,SK,94,0,0,0,-,0,0
2003,최태원,SK,33,1,0,1,0.0,0,0
2003,강석천,한화,8,0,0,0,-,0,0
2003,기론,한화,1,0,0,0,-,0,0
2003,김무성,한화,2,0,0,0,-,0,0
2003,김승권,한화,36,1,0,1,0.0,0,0
2003,김종석,한화,78,3,0,3,0.0,0,0
2003,김홍집,한화,1,0,0,0,-,0,0
2003,마정길,한화,3,0,0,0,-,0,0
2003,맹진국,한화,9,0,0,0,-,0,0
2003,박정진,한화,3,0,0,0,-,0,0
2003,송진우,한화,2,0,0,0,-,0,0
2003,송혁,한화,2,0,0,0,-,0,0
2003,신민기,한화,21,0,0,0,-,0,0
2003,심광호,한화,41,0,0,0,-,0,0
2003,안영명,한화,5,0,0,0,-,0,0
2003,이도형,한화,125,1,0,1,0.0,0,0
2003,이상목,한화,1,0,0,0,-,0,0
2003,이양기,한화,1,0,0,0,-,0,0
2003,정성열,한화,8,0,0,0,-,0,0
2003,조경택,한화,48,0,0,0,-,0,0
2003,조규수,한화,2,0,0,0,-,0,0
2003,조정권,한화,14,0,0,0,-,0,0
2003,채상병,한화,25,0,0,0,-,0,0
2003,피코타,한화,9,0,0,0,-,0,0
2003,한용덕,한화,2,0,0,0,-,0,0
2003,강상수,롯데,2,0,0,0,-,0,0
2003,김대익,롯데,48,1,0,1,0.0,0,0
2003,김영화,롯데,7,0,0,0,-,0,0
2003,문규현,롯데,17,0,0,0,-,0,0
2003,박경진,롯데,10,0,0,0,-,0,0
2003,박남섭,롯데,29,1,0,1,0.0,0,0
2003,박연수,롯데,72,3,0,3,0.0,0,0
2003,박정준,롯데,1,0,0,0,-,0,0
2003,박정태,롯데,50,1,0,1,0.0,0,0
2003,변인재,롯데,1,0,0,0,-,0,0
2003,보이,롯데,7,0,0,0,-,0,0
2003,이계성,롯데,59,1,0,1,0.0,0,0
2003,이대호,롯데,54,2,0,2,0.0,0,0
2003,이동욱,롯데,21,1,0,1,0.0,0,0
